a	172	0	cedilla
A	244	0	cedilla
A.alt	167	0	cedilla
a.high	167	0	cedilla
a.low	196	0	cedilla
A.rlow	265	0	cedilla
b	234	0	cedilla
B	246	0	cedilla
B.fina	251	0	cedilla
b.high	35	0	cedilla
B.highfina	244	0	cedilla
b.low	97	0	cedilla
B.lowfina	239	0	cedilla
B.rlow	227	0	cedilla
B.rlowhigh	199	0	cedilla
B.rlowlow	317	0	cedilla
C	205	0	cedilla
c	88	0	cedilla
c.high	133	0	cedilla
c.low	124	0	cedilla
C.rlow	196	0	cedilla
d	150	0	cedilla
D	331	0	cedilla
d.high	192	0	cedilla
d.low	239	0	cedilla
dotlessi	106	0	cedilla
dotlessi.high	14	0	cedilla
dotlessi.low	35	0	cedilla
dotlessj	30	0	cedilla
dotlessj.high	134	0	cedilla
dotlessj.low	-96	0	cedilla
i	106	0	cedilla
i.high	14	0	cedilla
i.low	35	0	cedilla
j	30	0	cedilla
j.high	134	0	cedilla
j.low	-96	0	cedilla
D.rhigh	313	0	cedilla
E	175	0	cedilla
e	76	0	cedilla
e.alt	-19	0	cedilla
e.high	26	0	cedilla
e.low	107	0	cedilla
E.rlow	114	0	cedilla
f	148	0	cedilla
F	211	0	cedilla
f.alt	397	0	cedilla
f.high	136	0	cedilla
f.low	248	0	cedilla
F.rlow	370	0	cedilla
g	-21	0	cedilla
G	298	0	cedilla
g.high	33	0	cedilla
g.low	51	0	cedilla
G.rlow	228	0	cedilla
H	215	0	cedilla
h	361	0	cedilla
h.high	160	0	cedilla
h.low	207	0	cedilla
H.rhigh	205	0	cedilla
I	392	0	cedilla
I.rlow	379	0	cedilla
J	311	0	cedilla
J.rlow	-84	0	cedilla
K	193	0	cedilla
k	334	0	cedilla
k.high	124	0	cedilla
k.low	154	0	cedilla
K.rlow	201	0	cedilla
L	141	0	cedilla
l	6	0	cedilla
l.alt	151	0	cedilla
l.high	22	0	cedilla
l.low	82	0	cedilla
L.rlow	177	0	cedilla
M	225	0	cedilla
m	356	0	cedilla
m.high	236	0	cedilla
m.low	274	0	cedilla
M.rlow	249	0	cedilla
N	157	0	cedilla
n	321	0	cedilla
n.high	191	0	cedilla
n.low	245	0	cedilla
N.rlow	166	0	cedilla
O	171	0	cedilla
o	19	0	cedilla
o.alt	9	0	cedilla
O.alt	171	0	cedilla
o.high.alt	60	0	cedilla
o.low.alt	105	0	cedilla
o.high	60	0	cedilla
o.low	105	0	cedilla
O.rhigh	160	0	cedilla
p	305	0	cedilla
P	38	0	cedilla
p.high	192	0	cedilla
p.low	250	0	cedilla
P.rhigh	307	0	cedilla
Q	193	0	cedilla
q	21	0	cedilla
q.high	56	0	cedilla
q.low	55	0	cedilla
Q.rlow	156	0	cedilla
R	186	0	cedilla
r	261	0	cedilla
r.high	116	0	cedilla
r.low	93	0	cedilla
R.rlow	207	0	cedilla
R.rlowhigh	196	0	cedilla
R.rlowlow	278	0	cedilla
s	262	0	cedilla
S	277	0	cedilla
s.high	102	0	cedilla
s.low	93	0	cedilla
S.rhigh	240	0	cedilla
T	171	0	cedilla
t	76	0	cedilla
t.alt	205	0	cedilla
t.high	65	0	cedilla
t.low	56	0	cedilla
T.rhigh	270	0	cedilla
u	125	0	cedilla
U	252	0	cedilla
u.alt	384	0	cedilla
u.high	203	0	cedilla
u.low	211	0	cedilla
U.rlow	258	0	cedilla
V	209	0	cedilla
v	225	0	cedilla
v.high	94	0	cedilla
v.low	201	0	cedilla
w	320	0	cedilla
W	357	0	cedilla
w.high	113	0	cedilla
w.low	180	0	cedilla
X	164	0	cedilla
x	250	0	cedilla
x.high	120	0	cedilla
x.low	165	0	cedilla
X.rlow	199	0	cedilla
y	187	0	cedilla
Y	88	0	cedilla
y.high	70	0	cedilla
y.low	105	0	cedilla
Y.rlow	103	0	cedilla
Z	354	0	cedilla
z	79	0	cedilla
z.high	-18	0	cedilla
z.low	22	0	cedilla
Z.rlow	51	0	cedilla
