o	206	250	viethorn
O	437	530	viethorn
o.alt	188	256	viethorn
O.alt	527	478	viethorn
o.high	279	236	viethorn
o.high.alt	229	253	viethorn
o.low	337	252	viethorn
o.low.alt	263	247	viethorn
O.rhigh	503	504	viethorn
u	389	262	viethorn
U	613	553	viethorn
u.alt	629	262	viethorn
u.high	398	261	viethorn
u.low	439	253	viethorn
U.rlow	612	553	viethorn
