Thin	0.1	100
Extralight	0.2	200
Light	0.3	300
Regular	0.4	400
Medium	0.5	500
Semibold	0.6	600
Bold	0.7	700
Extrabold	0.8	800
Black	0.9	900
Ultra	1.0	1000
