cyr_i	-71	-311	stroke1
cyr_I_	59	215	stroke1
cyr_ie	-77	-317	stroke1
cyr_I_E_	563	246	stroke1
cyr_ie.high	-76	-120	stroke1
cyr_ie.low	-88	-264	stroke1
cyr_I_E_.rlow	563	246	stroke1
cyr_i.high	-73	-116	stroke1
cyr_i.low	-89	-264	stroke1
cyr_I_.rlow	59	215	stroke1
cyr_ka	457	-107	stroke1
cyr_ka	-89	-168	stroke2
cyr_K_A_	186	-40	stroke1
cyr_K_A_	117	112	stroke2
cyr_ka.high	487	-107	stroke1
cyr_ka.high	-67	-119	stroke2
cyr_ka.low	566	-107	stroke1
cyr_ka.low	-89	-263	stroke2
cyr_K_A_.rlow	186	-40	stroke1
cyr_K_A_.rlow	117	112	stroke2
cyr_o	153	-218	stroke1
cyr_O_	452	94	stroke1
cyr_o.high	-67	-119	stroke1
cyr_o.low	-88	-264	stroke1
cyr_O_.rhigh	449	84	stroke1
cyr_pe	-87	-381	stroke1
cyr_P_E_	609	254	stroke1
cyr_P_E_	396	256	stroke2
cyr_P_E_	140	-66	stroke3
cyr_pe.high	-67	-119	stroke1
cyr_pe.low	-88	-263	stroke1
cyr_P_E_.rlow	609	254	stroke1
cyr_P_E_.rlow	396	256	stroke2
cyr_P_E_.rlow	140	-66	stroke3
cyr_sha	-11	-229	stroke1
cyr_S_H_A_	-56	213	stroke1
cyr_sha.high	-67	-120	stroke1
cyr_sha.low	-89	-263	stroke1
cyr_S_H_A_.rlow	-56	213	stroke1
cyr_shcha	-11	-229	stroke1
cyr_S_H_C_H_A_	905	-283	stroke1
cyr_shcha.high	-67	-120	stroke1
cyr_shcha.low	-88	-263	stroke1
cyr_S_H_C_H_A_.rlow	-56	214	stroke1
cyr_short_i	376	72	stroke1
cyr_short_i	-71	-311	stroke2
cyr_S_H_O_R_T__I_	349	337	stroke1
cyr_S_H_O_R_T__I_	58	212	stroke2
cyr_short_i.high	180	79	stroke1
cyr_short_i.high	-76	-122	stroke2
cyr_short_i.low	196	72	stroke1
cyr_short_i.low	-89	-264	stroke2
cyr_S_H_O_R_T__I_.rlow	58	212	stroke1
cyr_S_H_O_R_T__I_.rlow	348	337	stroke2
cyr_soft_sign	209	-77	stroke1
cyr_S_O_F_T__S_I_G_N_	378	198	stroke1
cyr_soft_sign.finahigh	-50	-265	stroke1
cyr_soft_sign.finalow	-88	-264	stroke1
cyr_te	-81	-381	stroke1
cyr_T_E_	611	255	stroke1
cyr_T_E_	820	254	stroke2
cyr_T_E_	396	256	stroke3
cyr_T_E_	140	-66	stroke4
cyr_te.high	-67	-119	stroke1
cyr_te.low	-89	-263	stroke1
cyr_T_E_.rlow	611	255	stroke1
cyr_T_E_.rlow	820	254	stroke2
cyr_T_E_.rlow	396	256	stroke3
cyr_T_E_.rlow	140	-66	stroke4
cyr_tse	-67	-287	stroke1
cyr_T_S_E_	59	215	stroke1
cyr_tse.high	-67	-120	stroke1
cyr_tse.low	-88	-263	stroke1
cyr_T_S_E_.rlow	59	215	stroke1
cyr_u	-77	-372	stroke1
cyr_U_	64	207	stroke1
cyr_u.high	-64	-116	stroke1
cyr_u.low	-88	-263	stroke1
cyr_U_.rlow	64	207	stroke1
cyr_ve	-85	-336	stroke1
cyr_V_E_	-41	-47	stroke1
cyr_ve.high	-77	-108	stroke1
cyr_ve.low	-89	-264	stroke1
cyr_V_E_.rlow	-41	-47	stroke1
cyr_ya	15	-224	stroke1
cyr_Y_A_	54	-200	stroke1
cyr_ya.high	58	-111	stroke1
cyr_ya.low	34	-202	stroke1
cyr_Y_A_.rlow	54	-199	stroke1
cyr_yeru	-67	-118	stroke1
cyr_Y_E_R_U_	330	221	stroke1
cyr_yeru.high	-67	-118	stroke1
cyr_yeru.low	-88	-263	stroke1
cyr_Y_E_R_U_.rlow	330	221	stroke1
cyr_yu	-71	-142	stroke1
cyr_yu	215	-21	stroke2
cyr_yu	-46	-400	stroke3
cyr_yu	152	-297	stroke4
cyr_Y_U_	15	-96	stroke1
cyr_Y_U_	483	-73	stroke2
cyr_yu.finahigh	-68	-109	stroke1
cyr_yu.finahigh	196	-21	stroke2
cyr_yu.finahigh	-68	-399	stroke3
cyr_yu.finahigh	132	-297	stroke4
cyr_yu.finalow	-97	-238	stroke1
cyr_yu.finalow	264	-22	stroke2
cyr_yu.finalow	10	-404	stroke3
cyr_yu.finalow	204	-296	stroke4
cyr_ze	-80	-379	stroke1
cyr_Z_E_	205	129	stroke1
cyr_ze.high	-66	-118	stroke1
cyr_ze.low	-90	-264	stroke1
cyr_Z_E_.rlow	205	129	stroke1
cyr_zhe	-12	-88	stroke1
cyr_Z_H_E_	67	163	stroke1
cyr_zhe.high	-66	-118	stroke1
cyr_zhe.low	-89	-263	stroke1
cyr_Z_H_E_.rlow	67	163	stroke1
d	382	-180	stroke1
d	567	230	stroke2
D_	595	142	stroke1
dagger	-7	-317	stroke1
dagger	-20	-16	stroke2
daggerdbl	-73	-125	stroke1
daggerdbl	0	-323	stroke2
daggerdbl	-6	9	stroke3
degree	137	39	stroke1
d.high	-67	-119	stroke1
d.high	423	-183	stroke2
d.high	617	224	stroke3
divide	52	-390	stroke1
divide	103	-76	stroke2
divide	3	-151	stroke3
d.low	-88	-264	stroke1
d.low	457	-181	stroke2
d.low	652	223	stroke3
dollar	505	224	stroke1
dollar	370	255	stroke2
dollar	473	36	stroke3
dotlessi	-86	-330	stroke1
dotlessi.high	-66	-119	stroke1
dotlessi.low	-88	-263	stroke1
dotlessj	-70	-300	stroke1
dotlessj.high	-67	-120	stroke1
dotlessj.low	-89	-264	stroke1
D_.rhigh	585	105	stroke1
e	-66	-242	stroke1
E_	566	246	stroke1
E_	384	63	stroke2
e.high	-67	-120	stroke1
eight	640	40	stroke1
ellipsis	392	-406	stroke1
ellipsis	189	-406	stroke2
ellipsis	-42	-394	stroke3
e.low	-88	-264	stroke1
emdash	7	-149	stroke1
endash	7	-149	stroke1
equal	-24	-233	stroke1
equal	35	-93	stroke2
E_.rlow	566	246	stroke1
E_.rlow	384	63	stroke2
eth	342	67	stroke1
eth	172	-212	stroke2
E_th	107	-26	stroke1
E_th	595	142	stroke2
eth.high	387	62	stroke1
eth.high	-65	-117	stroke2
eth.low	429	62	stroke1
eth.low	-88	-264	stroke2
E_th.rhigh	107	-26	stroke1
E_th.rhigh	585	105	stroke2
_E_uro	-52	-69	stroke1
_E_uro	8	69	stroke2
_E_uro	615	249	stroke3
exclam	-48	-411	stroke1
exclam	343	208	stroke2
exclamdown	322	225	stroke1
exclamdown	302	12	stroke2
f	53	-98	stroke1
F_	353	-35	stroke1
F_	375	298	stroke2
F_	199	115	stroke3
f.high	-66	-118	stroke1
five	807	135	stroke1
f.low	-88	-263	stroke1
four	663	222	stroke1
four	428	230	stroke2
F_.rlow	353	-35	stroke1
F_.rlow	375	298	stroke2
F_.rlow	199	115	stroke3
g	401	-209	stroke1
g	423	-71	stroke2
G_	-89	-336	stroke1
germandbls	-4	-153	stroke1
germandbls.fina	-88	-263	stroke1
germandbls.high	-67	-120	stroke1
germandbls.low	-88	-263	stroke1
g.high	-67	-119	stroke1
g.high	441	-205	stroke2
g.high	459	-66	stroke3
g.low	-88	-263	stroke1
g.low	464	-199	stroke2
g.low	469	-58	stroke3
grave	279	236	stroke1
gravecomb	-90	-156	stroke1
greater	259	66	stroke1
G_.rlow	-89	-336	stroke1
guillemotleft	451	40	stroke1
guillemotleft	260	87	stroke2
guillemotright	164	137	stroke1
guillemotright	339	146	stroke2
h	-89	-342	stroke1
h	178	-408	stroke2
H_	92	209	stroke1
H_	806	99	stroke2
h.high	-63	-106	stroke1
h.high	-55	-396	stroke2
h.low	-95	-242	stroke1
h.low	21	-407	stroke2
hookabovecomb	-122	-360	stroke1
H_.rhigh	92	209	stroke1
H_.rhigh	806	99	stroke2
hyphen	7	-149	stroke1
i	336	-2	stroke1
i	-86	-330	stroke2
I_	314	-236	stroke1
i.high	168	-1	stroke1
i.high	-70	-127	stroke2
i.low	247	-3	stroke1
i.low	-88	-263	stroke2
I_.rlow	314	-236	stroke1
j	357	-3	stroke1
j	-74	-309	stroke2
J_	210	-497	stroke1
j.high	156	-2	stroke1
j.high	-70	-128	stroke2
j.low	203	-2	stroke1
j.low	-89	-264	stroke2
_J_pnP_ostalM_ark	335	-86	stroke1
_J_pnP_ostalM_ark	56	150	stroke2
_J_pnP_ostalM_ark	1	23	stroke3
J_.rlow	210	-497	stroke1
k	-80	-316	stroke1
k	167	-395	stroke2
K_	726	142	stroke1
K_	57	227	stroke2
k.high	-58	-393	stroke1
k.high	-62	-105	stroke2
k.low	-95	-241	stroke1
k.low	2	-399	stroke2
K_.rlow	726	141	stroke1
